ID,Name,Description,CLTS_BIPA,CLTS_Name,LAPSYD_Features
u_u028Au0303u02D0,ʊ̃ː,nasalized long lowered high back rounded,ʊ̃ː,long nasalized rounded near-close near-back vowel,nasalized long lowered high back rounded
o_u006Fu0330u0303,õ̰,nasalized laryngealized higher mid back rounded,õ̰,nasalized creaky rounded close-mid back vowel,nasalized laryngealized higher mid back rounded
ntsh_u006Eu032Au0074u032Au0073u032Au02B0,n̪t̪s̪ʰ,pulmonic affricate sibilant prenasalized aspirated voiceless alveolar,ⁿts̪ʰ,pre-nasalized aspirated voiceless dental sibilant affricate consonant,pulmonic affricate sibilant prenasalized aspirated voiceless alveolar
ie_u0069u0065,ie,diphtong high higher mid front unrounded lowering,ie,from unrounded close front to unrounded close-mid front diphthong,diphtong high higher mid front unrounded lowering
ndz_u006Eu0320u0064u0320u0292,n̠d̠ʒ,pulmonic affricate sibilant prenasalized voiced palato-alveolar,ⁿdʒ,pre-nasalized voiced post-alveolar affricate consonant,pulmonic affricate sibilant prenasalized voiced palato-alveolar
g_u0261u01C1,ɡǁ,click stop lateral voiced alveolar velar,gǁ,voiced alveolar lateral click consonant,click stop lateral voiced alveolar velar
dbv_u0238u0076,ȸv,pulmonic affricate sibilant voiced labio-dental,bv,voiced labio-dental affricate consonant,pulmonic affricate sibilant voiced labio-dental
h_u0068u0303,h̃,pulmonic fricative nasalized voiceless glottal,h̃,nasalized voiceless glottal fricative consonant,pulmonic fricative nasalized voiceless glottal
ng_u014Bu01C3,ŋǃ,click nasal voiced palato-alveolar velar,ŋǃ,voiced alveolar nasal-click consonant,click nasal voiced palato-alveolar velar
nj_u006Eu0320u02B2,n̠ʲ,pulmonic nasal voiced palatalized retracted,n̠ʲ,retracted palatalized voiced alveolar nasal consonant,pulmonic nasal voiced palatalized retracted
u_u0075u02D0u0320,uː̠,long high back rounded retracted,u̠ː,long retracted rounded close back vowel,long high back rounded retracted
o_u00F8u0330,ø̰,laryngealized higher mid front rounded,ø̰,creaky rounded close-mid front vowel,laryngealized higher mid front rounded
lzj_u026Eu02B2,ɮʲ,pulmonic fricative lateral voiced palatalized alveolar,ɮʲ,palatalized voiced alveolar lateral fricative consonant,pulmonic fricative lateral voiced palatalized alveolar
dz_u0256u0290,ɖʐ,pulmonic affricate sibilant voiced retroflex,ɖʐ,voiced retroflex sibilant affricate consonant,pulmonic affricate sibilant voiced retroflex
s_u0073u032Au02E4,s̪ˤ,pulmonic fricative sibilant voiceless pharyngealized dental,s̪ˤ,pharyngealized voiceless dental sibilant fricative consonant,pulmonic fricative sibilant voiceless pharyngealized dental
t_u0074u0320,t̠,pulmonic stop voiceless palato-alveolar,t̠,voiceless post-alveolar stop consonant,pulmonic stop voiceless palato-alveolar
ng_u014Bu0325u01C0u0294,ŋ̥ǀʔ,click stop nasal voiceless dental velar glottal,ⁿǀˀ,pre-nasalized glottalized voiceless dental click consonant,click stop nasal voiceless dental velar glottal
ngm_u014Bu006D,ŋm,pulmonic nasal voiced bilabial velar,ŋm,voiced velar-and-bilabial nasal consonant,pulmonic nasal voiced bilabial velar
t_u0074,t,pulmonic stop voiceless unspecified coronal place,t,voiceless alveolar stop consonant,pulmonic stop voiceless unspecified coronal place
oe_u0153u02D0,œː,long lower mid front rounded,œː,long rounded open-mid front vowel,long lower mid front rounded
au_u0251u0075,ɑu,diphtong high low back unrounded rounded rising rounding,ɑu,from unrounded open back to rounded close back diphthong,diphtong high low back unrounded rounded rising rounding
w_u0294u02B7,ʔʷ,pulmonic stop voiceless labialized glottal,ʔʷ,labialized voiceless glottal stop consonant,pulmonic stop voiceless labialized glottal
kpw_u006Bu0070u02B7,kpʷ,pulmonic stop voiceless labialized bilabial velar,kpʷ,labialized voiceless velar-and-bilabial stop consonant,pulmonic stop voiceless labialized bilabial velar
_u0294,ʔ,pulmonic stop voiceless glottal,ʔ,voiceless glottal stop consonant,pulmonic stop voiceless glottal
u_u028A,ʊ,lowered high back rounded,ʊ,rounded near-close near-back vowel,lowered high back rounded
lz_u026E,ɮ,pulmonic fricative lateral voiced alveolar,ɮ,voiced alveolar lateral fricative consonant,pulmonic fricative lateral voiced alveolar
w_u026Fu0303u02D0,ɯ̃ː,nasalized long high back unrounded,ɯ̃ː,long nasalized unrounded close back vowel,nasalized long high back unrounded
a_u0250u02D0,ɐː,long raised low central unrounded,ɐː,long unrounded near-open central vowel,long raised low central unrounded
i_u026A,ɪ,lowered high front unrounded,ɪ,unrounded near-close near-front vowel,lowered high front unrounded
tl_u0074u032Au026Cu032Au02BC,t̪ɬ̪ʼ,ejective affricate lateral dental alveolar,tɬ̪ʼ,voiceless dental ejective lateral affricate consonant,ejective affricate lateral dental alveolar
ts_u0074u0073u032Bu02BC,ts̫ʼ,ejective affricate sibilant alveolar whistled,ts̫ʼ,voiceless alveolar ejective whistled-sibilant affricate consonant,ejective affricate sibilant alveolar whistled
u_u0075u0330u02D0,ṵː,laryngealized long high back rounded,ṵː,long creaky rounded close back vowel,laryngealized long high back rounded
kp_u006Bu0070,kp,pulmonic stop voiceless bilabial velar,kp,voiceless velar-and-bilabial stop consonant,pulmonic stop voiceless bilabial velar
ngk_u014Bu006B,ŋk,pulmonic stop prenasalized voiceless velar,ⁿk,pre-nasalized voiceless velar stop consonant,pulmonic stop prenasalized voiceless velar
jy_u025Fu028E,ɟʎ,pulmonic stop approximant lateral voiced palatal,ɟˡ,with-lateral-release voiced palatal stop consonant,pulmonic stop approximant lateral voiced palatal
yo_u0079u00F8,yø,diphtong high higher mid front rounded lowering,yø,from rounded close front to rounded close-mid front diphthong,diphtong high higher mid front rounded lowering
ngg_u014Bu0261,ŋɡ,pulmonic stop prenasalized voiced velar,ⁿg,pre-nasalized voiced velar stop consonant,pulmonic stop prenasalized voiced velar
v_u028B,ʋ,pulmonic approximant voiced labio-dental,ʋ,voiced labio-dental approximant consonant,pulmonic approximant voiced labio-dental
e_u0065u0330u0303,ḛ̃,nasalized laryngealized higher mid front unrounded,ḛ̃,nasalized creaky unrounded close-mid front vowel,nasalized laryngealized higher mid front unrounded
kngw_u006Bu014Bu02B7,kŋʷ,pulmonic stop voiceless labialized velar nasal release,kⁿʷ,labialized with-nasal-release voiceless velar stop consonant,pulmonic stop voiceless labialized velar nasal release
_u02A1,ʡ,pulmonic stop voiceless epiglottal,ʡ,voiceless epiglottal stop consonant,pulmonic stop voiceless epiglottal
