ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Glottolog_Name
kedang_keda1252,Kedang,Papunesia,-8.23039,123.77,keda1252,,Austronesian,Kedang
kalkatungu_kalk1246,Kalkatungu,Australia,-21.0,139.5,kalk1246,,Pama-Nyungan,Kalkutung
kuotsouth_kuot1243,"Kuot, South",Papunesia,-3.06952,151.537,kuot1243,,,Kuot
kunama_kuna1268,Kunama,Africa,14.5879,37.5292,kuna1268,,,Kunama
kunimaipa_kuni1267,Kunimaipa,Papunesia,-8.09371,146.908,kuni1267,,Goilalan,Kunimaipa
kutenai_kute1249,Kutenai,North America,48.7892,-115.065,kute1249,,,Kutenai
kwaio_kwai1243,Kwaio,Papunesia,-8.93744,160.965,kwai1243,,Austronesian,Kwaio
awapit_awac1239,Awa Pit,South America,1.21652,-78.3401,awac1239,,Barbacoan,Awa-Cuaiquer
kwakwala_kwak1269,Kwakw'ala,North America,50.9269,-127.308,kwak1269,,Wakashan,Kwak'wala
karuk_karo1304,Karuk,North America,41.8228,-123.315,karo1304,,,Karok
karao_kara1487,Karao,Papunesia,16.5655,120.956,kara1487,,Austronesian,Karao
ladakhidialectofleh_lada1244,"Ladakhi, dialect of Leh",Eurasia,33.468,80.6013,lada1244,,Sino-Tibetan,Leh Ladakhi
lardil_lard1243,Lardil,Australia,-16.56152,139.4343,lard1243,,Tangkic,Lardil
lelemi_lele1264,Lelemi,Africa,7.34549,0.50746,lele1264,,Atlantic-Congo,Lelemi
lepcha_lepc1244,Lepcha,Eurasia,27.0869,88.5726,lepc1244,,Sino-Tibetan,Lepcha
lezgian_lezg1247,Lezgian,Eurasia,41.5157,47.8951,lezg1247,,Nakh-Daghestanian,Lezgian
lugbarawestern_lugb1240,"Lugbara, Western",Africa,3.02245,30.8642,lugb1240,,Central Sudanic,Lugbara
lahu_lahu1253,Lahu,Eurasia,21.2701,100.214,lahu1253,,Sino-Tibetan,Lahu
hlailauhutbaodingdialect_hlai1239,"Hlai, Lauhut (Baoding) dialect",Eurasia,18.8062,109.459,hlai1239,,Tai-Kadai,Hlai
lithuanian_lith1251,Lithuanian,Eurasia,55.1429,23.9601,lith1251,,Indo-European,Lithuanian
lakotateton_lako1247,"Lakota, Teton",North America,46.3699,-103.95,lako1247,,Siouan,Lakota
lelechad_lele1276,Lele (Chad),Africa,9.158,15.81149,lele1276,,Afro-Asiatic,Lele (Chad)
limilngan_nucl1327,Limilngan,Australia,-12.4294,131.845,nucl1327,,Limilngan-Wulna,Limilngan
lelepa_lele1267,Lelepa,Papunesia,-17.6042,168.202,lele1267,,Austronesian,Lelepa
luiseno_luis1253,Luiseño,North America,33.3184,-116.939,luis1253,,Uto-Aztecan,Luiseno-Juaneño
lavukaleve_lavu1241,Lavukaleve,Papunesia,-9.05569,159.119,lavu1241,,,Lavukaleve
lawu_lawu1238,Lawu,Eurasia,24.133878,101.498795,lawu1238,,Sino-Tibetan,Lawu
maithili_mait1250,Maithili,Eurasia,26.3817,86.2211,mait1250,,Indo-European,Maithili
makassarese_maka1311,Makassarese,Papunesia,-5.65551,119.838,maka1311,,Austronesian,Makasar
mazahuacentral_cent2144,"Mazahua, Central",North America,19.7357,-100.018,cent2144,,Otomanguean,Central Mazahua
